Time (EST)	Latitude	Longitude	Altitude	Course	kts	mph	Rate	Reporting Facility
Fri 07:58:17 PM	33.8255	-118.1604	725.00	? 317¡	149.00	171.00	Level	ÊFlightAware ADS-BÊ(KSNA)
Fri 07:58:33 PM	33.8345	-118.1702	1300.00	? 317¡	166.00	191.00	"1,875Ê"	ÊFlightAware ADS-BÊ(KTOA)
Fri 07:58:49 PM	33.8432	-118.1824	1725.00	? 296¡	190.00	219.00	"1,688Ê"	ÊFlightAware ADS-BÊ(KFUL)
Fri 07:59:05 PM	33.8437	-118.1994	2200.00	? 250¡	212.00	244.00	"1,828Ê"	ÊFlightAware ADS-BÊ(KSMO)
Fri 07:59:21 PM	33.8346	-118.2152	2700.00	? 233¡	219.00	252.00	"2,719Ê"	ÊFlightAware ADS-BÊ(KLGB)
Fri 07:59:37 PM	33.8248	-118.2306	3650.00	? 232¡	219.00	252.00	"3,469Ê"	ÊFlightAware ADS-BÊ(KEMT)
Fri 07:59:53 PM	33.8139	-118.2469	4550.00	? 229¡	225.00	259.00	"2,818Ê"	ÊFlightAware ADS-BÊ(KWHP)
Fri 08:00:10 PM	33.8001	-118.2583	5200.00	? 200¡	246.00	283.00	"2,250Ê"	ÊFlightAware ADS-BÊ(KEMT)
Fri 08:00:27 PM	33.7784	-118.2651	5825.00	? 193¡	274.00	315.00	"2,871Ê"	ÊFlightAware ADS-BÊ(KEMT)
Fri 08:00:45 PM	33.7577	-118.2711	6875.00	? 194¡	284.00	327.00	"4,000Ê"	ÊFlightAware ADS-BÊ(KBUR)
Fri 08:01:03 PM	33.733	-118.2788	8225.00	? 191¡	289.00	333.00	"4,071Ê"	ÊFlightAware ADS-BÊ(KWHP)
Fri 08:01:20 PM	33.7102	-118.2776	9250.00	? 167¡	299.00	344.00	"2,786Ê"	ÊFlightAware ADS-BÊ(KNKX)
Fri 08:01:38 PM	33.6896	-118.2627	9850.00	? 133¡	304.00	350.00	"2,014Ê"	ÊFlightAware ADS-BÊ(KSNA)
Fri 08:01:55 PM	33.6782	-118.2377	10425.00	? 106¡	316.00	364.00	"2,705Ê"	ÊFlightAware ADS-BÊ(KSNA)
Fri 08:02:39 PM	33.6716	-118.1542	12600.00	? 95¡	350.00	403.00	"3,223Ê"	ÊFlightAware ADS-BÊ(KSNA)
Fri 08:03:09 PM	33.6677	-118.0976	14400.00	? 95¡	363.00	418.00	"2,645Ê"	ÊFlightAware ADS-BÊ(KSMO)
