Time (EST)	Latitude	Longitude	Course	kts	mph	Altitude	Rate	Reporting Facility
Sat 04:45:23 PM	33.4309	-112.03	? 268¡	164.00	189.00	1550.00	Level	ÊFlightAware ADS-BÊ(KDVT)
Sat 04:45:39 PM	33.4306	-112.043	? 266¡	171.00	197.00	2275.00	"2,156Ê"	ÊFlightAware ADS-BÊ(KPHX)
Sat 04:45:55 PM	33.4279	-112.0586	? 253¡	194.00	223.00	2700.00	"1,688Ê"	ÊFlightAware ADS-BÊ(KPHX)
Sat 04:46:11 PM	33.423	-112.0765	? 251¡	218.00	251.00	3175.00	"2,156Ê"	ÊFlightAware ADS-BÊ(KFFZ)
Sat 04:46:27 PM	33.4179	-112.0957	? 252¡	230.00	265.00	3850.00	"2,120Ê"	ÊFlightAware ADS-BÊ(KPHX)
Sat 04:46:57 PM	33.4072	-112.136	? 252¡	269.00	310.00	4800.00	"2,400Ê"	ÊFlightAware ADS-BÊ(KFFZ)
Sat 04:47:27 PM	33.3951	-112.1804	? 252¡	286.00	329.00	6250.00	"3,660Ê"	ÊFlightAware ADS-BÊ(KSDL)
Sat 04:47:47 PM	33.3926	-112.2111	? 275¡	278.00	320.00	7850.00	"4,462Ê"	ÊFlightAware ADS-BÊ(KFFZ)
Sat 04:48:06 PM	33.3967	-112.2403	? 280¡	284.00	327.00	9150.00	"3,600Ê"	ÊFlightAware ADS-BÊ(KFFZ)
Sat 04:48:37 PM	33.4046	-112.2896	? 281¡	313.00	360.00	10850.00	"3,369Ê"	ÊFlightAware ADS-BÊ(KFFZ)
Sat 04:49:07 PM	33.4127	-112.3434	? 280¡	331.00	381.00	12575.00	"3,350Ê"	ÊFlightAware ADS-BÊ(KPHX)
Sat 04:49:37 PM	33.4204	-112.3968	? 280¡	347.00	399.00	14200.00	"3,750Ê"	ÊFlightAware ADS-BÊ(KPHX)
Sat 04:50:07 PM	33.4289	-112.4557	? 280¡	347.00	399.00	16325.00	"4,100Ê"	ÊFlightAware ADS-BÊ(KGEU)
Sat 04:50:37 PM	33.4368	-112.5103	? 280¡	345.00	397.00	18300.00	"3,175Ê"	ÊFlightAware ADS-BÊ(KSDL)
Sat 04:51:07 PM	33.4456	-112.5697	? 280¡	367.00	422.00	19500.00	"2,281Ê"	ÊFlightAware ADS-BÊ(KFFZ)
Sat 04:51:25 PM	33.4496	-112.6031	? 275¡	379.00	436.00	20125.00	"2,879Ê"	ÊFlightAware ADS-BÊ(KPHX)
Sat 04:52:09 PM	33.4515	-112.6963	? 271¡	388.00	447.00	22475.00	"3,081Ê"	ÊFlightAware ADS-BÊ(KDMA)
Sat 04:52:39 PM	33.4524	-112.761	? 271¡	389.00	448.00	23925.00	"2,878Ê"	ÊFlightAware ADS-BÊ(KDMA)
Sat 04:52:58 PM	33.4547	-112.8028	? 277¡	388.00	447.00	24825.00	"2,449Ê"	ÊFlightAware ADS-BÊ(KDMA)
Sat 04:53:28 PM	33.4654	-112.8667	? 282¡	395.00	455.00	25925.00	"2,000Ê"	ÊFlightAware ADS-BÊ(KDVT)
Sat 04:53:58 PM	33.4776	-112.9326	? 283¡	408.00	470.00	26825.00	"1,795Ê"	ÊFlightAware ADS-BÊ(KAVQ)
Sat 04:54:29 PM	33.4904	-113.001	? 283¡	417.00	480.00	27750.00	"1,746Ê"	ÊFlightAware ADS-BÊ(KMZJ)
Sat 04:54:59 PM	33.5026	-113.0666	? 282¡	424.00	488.00	28600.00	"2,150Ê"	ÊFlightAware ADS-BÊ(KPAN)
Sat 04:55:29 PM	33.5158	-113.1382	? 282¡	420.00	483.00	29900.00	"2,675Ê"	ÊFlightAware ADS-BÊ(KDVT)
Sat 04:55:59 PM	33.5283	-113.2062	? 283¡	413.00	475.00	31275.00	"2,100Ê"	ÊFlightAware ADS-BÊ(KBXK)
Sat 04:56:29 PM	33.5403	-113.2715	? 282¡	411.00	473.00	32000.00	725Ê	ÊFlightAware ADS-BÊ(KAVQ)
Sat 04:56:59 PM	33.5524	-113.3374	? 282¡	408.00	470.00	32000.00	Level	ÊFlightAware ADS-BÊ(KSDL)
Sat 04:57:29 PM	33.5648	-113.4053	? 282¡	406.00	467.00	32000.00	-25Ê	ÊFlightAware ADS-BÊ(KDVT)
Sat 04:57:59 PM	33.5762	-113.4681	? 282¡	392.00	451.00	31975.00	Level	ÊFlightAware ADS-BÊ(KPHX)
Sat 04:58:29 PM	33.5876	-113.5303	? 283¡	387.00	445.00	32000.00	25Ê	ÊFlightAware ADS-BÊ(KNYL)
Sat 04:58:59 PM	33.5994	-113.5925	? 283¡	386.00	444.00	32000.00	Level	ÊFlightAware ADS-BÊ(KNYL)
Sat 04:59:29 PM	33.611	-113.6548	? 283¡	385.00	443.00	32000.00	Level	ÊFlightAware ADS-BÊ(KVGT)
Sat 04:59:59 PM	33.6232	-113.7208	? 283¡	384.00	442.00	32000.00	Level	ÊFlightAware ADS-BÊ(KPHX)
Sat 05:00:29 PM	33.6345	-113.782	? 283¡	383.00	441.00	32000.00	Level	ÊFlightAware ADS-BÊ(KGEU)
Sat 05:00:59 PM	33.6459	-113.8427	? 284¡	383.00	441.00	32000.00	Level	ÊFlightAware ADS-BÊ(KDMA)
Sat 05:01:44 PM	33.6753	-113.9307	? 295¡	386.00	444.00	32000.00	20Ê	ÊFlightAware ADS-BÊ(KTUS)
Sat 05:02:14 PM	33.6979	-113.9897	? 295¡	396.00	456.00	32025.00	Level	ÊFlightAware ADS-BÊ(KIFP)
Sat 05:02:44 PM	33.7212	-114.0504	? 295¡	403.00	464.00	32000.00	-25Ê	ÊFlightAware ADS-BÊ(KIFP)
Sat 05:03:14 PM	33.7455	-114.114	? 293¡	402.00	463.00	32000.00	Level	ÊFlightAware ADS-BÊ(KGYR)
Sat 05:03:33 PM	33.7567	-114.1541	? 285¡	401.00	461.00	32000.00	Level	ÊFlightAware ADS-BÊ(KDVT)
Sat 05:04:19 PM	33.7702	-114.2519	? 278¡	400.00	460.00	32000.00	Level	ÊFlightAware ADS-BÊ(KBTY)
Sat 05:04:49 PM	33.7781	-114.3185	? 278¡	400.00	460.00	32000.00	Level	ÊFlightAware ADS-BÊ(KBTY)
Sat 05:05:19 PM	33.7858	-114.384	? 278¡	400.00	460.00	32000.00	Level	ÊFlightAware ADS-BÊ(KBTY)
Sat 05:05:49 PM	33.7937	-114.4525	? 278¡	401.00	461.00	32000.00	Level	ÊFlightAware ADS-BÊ(KLAX)
