,Latitude,Longitude,Altitude
126,33.4289,-111.9988,1125.0
125,33.4289,-111.9868,1300.0
124,33.4289,-111.9755,1475.0
123,33.4288,-111.9641,1650.0
122,33.4288,-111.9531,1825.0
121,33.4288,-111.9422,2000.0
120,33.4288,-111.9316,2150.0
119,33.4289,-111.9254,2275.0
118,33.4288,-111.918,2375.0
117,33.4288,-111.8929,2775.0
116,33.4283,-111.8733,2925.0
115,33.4254,-111.8553,3050.0
114,33.4171,-111.84,3275.0
113,33.4041,-111.822,3550.0
112,33.3894,-111.8204,3900.0
111,33.3652,-111.8221,4450.0
110,33.3518,-111.828,4775.0
109,33.3448,-111.8424,5100.0
108,33.3444,-111.8643,5525.0
107,33.3445,-111.8839,5875.0
106,33.3447,-111.9025,6275.0
105,33.3451,-111.9276,6850.0
104,33.3455,-111.9439,7150.0
103,33.3461,-111.9747,7450.0
102,33.3467,-112.0142,7950.0
101,33.3473,-112.055,8475.0
100,33.3475,-112.0948,8925.0
99,33.3435,-112.1395,9175.0
98,33.3389,-112.1879,9475.0
97,33.3349,-112.2331,9975.0
96,33.3303,-112.2846,10750.0
95,33.3257,-112.3345,11475.0
94,33.3206,-112.3894,12275.0
93,33.3161,-112.4396,12975.0
92,33.3112,-112.4938,13725.0
91,33.3063,-112.546,14475.0
90,33.3013,-112.5998,15200.0
89,33.2965,-112.6531,15950.0
88,33.2911,-112.7088,16675.0
87,33.2857,-112.7661,16950.0
86,33.2803,-112.8251,16950.0
85,33.279,-112.8799,17325.0
84,33.2776,-112.9418,18225.0
83,33.2762,-113.0009,18975.0
82,33.2759,-113.0715,18975.0
81,33.2806,-113.113,19175.0
80,33.2893,-113.1753,20050.0
79,33.2999,-113.2447,21075.0
78,33.3113,-113.3104,22000.0
77,33.3233,-113.38,22000.0
76,33.3352,-113.4493,22000.0
75,33.3489,-113.5171,22750.0
74,33.3625,-113.5845,23900.0
73,33.377,-113.6562,24850.0
72,33.3922,-113.731,25000.0
71,33.407,-113.8048,25000.0
70,33.4217,-113.8774,25000.0
69,33.4358,-113.9486,25000.0
68,33.4509,-114.0242,24975.0
67,33.4658,-114.0984,24975.0
66,33.4811,-114.1752,25275.0
65,33.4969,-114.2543,26125.0
64,33.5126,-114.3326,27925.0
63,33.529,-114.416,28450.0
62,33.5445,-114.4951,28975.0
61,33.56,-114.5754,29000.0
60,33.5748,-114.6521,29000.0
59,33.5947,-114.766,29000.0
58,33.598,-114.8274,29000.0
57,33.6004,-114.9093,29000.0
56,33.6027,-114.9884,29000.0
55,33.605,-115.0686,29000.0
54,33.6072,-115.1498,29000.0
53,33.6092,-115.2284,29000.0
52,33.6112,-115.3092,29000.0
51,33.613,-115.3878,29000.0
50,33.6147,-115.4648,29000.0
49,33.6165,-115.5461,29000.0
48,33.6187,-115.6227,29000.0
47,33.6209,-115.7018,29000.0
46,33.6232,-115.7775,29000.0
45,33.6253,-115.8538,29000.0
44,33.6274,-115.9303,29000.0
43,33.6293,-116.0095,29000.0
42,33.6311,-116.0845,29000.0
41,33.6331,-116.1631,29000.0
40,33.6349,-116.2398,29000.0
39,33.6366,-116.315,29000.0
38,33.6385,-116.3949,29000.0
37,33.6402,-116.4693,29000.0
36,33.6419,-116.5447,29000.0
35,33.6433,-116.6211,29000.0
34,33.645,-116.7035,29000.0
33,33.6467,-116.7871,28925.0
32,33.6482,-116.8625,27750.0
31,33.6498,-116.9401,26275.0
30,33.6511,-117.0175,25175.0
29,33.6522,-117.0939,25000.0
28,33.6533,-117.1709,25000.0
27,33.6545,-117.2474,25000.0
26,33.6556,-117.3226,24175.0
25,33.6567,-117.4004,23000.0
24,33.6578,-117.4715,22050.0
23,33.6588,-117.545,21550.0
22,33.6599,-117.6221,20225.0
21,33.6609,-117.6929,19050.0
20,33.6617,-117.7615,18700.0
19,33.6623,-117.8295,17350.0
18,33.6628,-117.8996,16900.0
17,33.6634,-117.9676,16500.0
16,33.6639,-118.0423,15025.0
15,33.6677,-118.0976,14400.0
14,33.6716,-118.1542,12600.0
13,33.6782,-118.2377,10425.0
12,33.6896,-118.2627,9850.0
11,33.7102,-118.2776,9250.0
10,33.733,-118.2788,8225.0
9,33.7577,-118.2711,6875.0
8,33.7784,-118.2651,5825.0
7,33.8001,-118.2583,5200.0
6,33.8139,-118.2469,4550.0
5,33.8248,-118.2306,3650.0
4,33.8346,-118.2152,2700.0
3,33.8437,-118.1994,2200.0
2,33.8432,-118.1824,1725.0
1,33.8345,-118.1702,1300.0
0,33.8255,-118.1604,725.0
