Latitude,Longitude,Altitude
33.8255,-118.1604,327
33.8345,-118.1702,1235
33.8432,-118.1824,2085
33.8437,-118.1994,1970
33.8346,-118.2152,2306
33.8248,-118.2306,3221
33.8139,-118.2469,4750
33.8001,-118.2583,4720
33.7784,-118.2651,5939
33.7577,-118.2711,6496
33.733,-118.2788,8191
33.7102,-118.2776,8964
33.6896,-118.2627,9680
33.6782,-118.2377,10383
33.6716,-118.1542,12187
33.6677,-118.0976,14272
33.6639,-118.0423,14624
33.6634,-117.9676,16871
33.6628,-117.8996,17063
33.6623,-117.8295,16980
33.6617,-117.7615,18861
33.6609,-117.6929,18858
33.6599,-117.6221,20494
33.6588,-117.545,21393
33.6578,-117.4715,22041
33.6567,-117.4004,22913
33.6556,-117.3226,24480
33.6545,-117.2474,24885
33.6533,-117.1709,24691
33.6522,-117.0939,25455
33.6511,-117.0175,24951
33.6498,-116.9401,25935
33.6482,-116.8625,27709
33.6467,-116.7871,28738
33.645,-116.7035,28521
33.6433,-116.6211,28752
33.6419,-116.5447,29247
33.6402,-116.4693,29356
33.6385,-116.3949,29060
33.6366,-116.315,28974
33.6349,-116.2398,28558
33.6331,-116.1631,29010
33.6311,-116.0845,29181
33.6293,-116.0095,28975
33.6274,-115.9303,29199
33.6253,-115.8538,29475
33.6232,-115.7775,29282
33.6209,-115.7018,28689
33.6187,-115.6227,29457
33.6165,-115.5461,29186
33.6147,-115.4648,29457
33.613,-115.3878,29062
33.6112,-115.3092,29375
33.6092,-115.2284,29066
33.6072,-115.1498,28743
33.605,-115.0686,29331
33.6027,-114.9884,29004
33.6004,-114.9093,28630
33.598,-114.8274,28984
33.5947,-114.766,29318
33.5748,-114.6521,29146
33.56,-114.5754,28520
33.5445,-114.4951,29315
33.529,-114.416,28116
33.5126,-114.3326,27698
33.4969,-114.2543,26012
33.4811,-114.1752,25375
33.4658,-114.0984,24790
33.4509,-114.0242,24488
33.4358,-113.9486,24741
33.4217,-113.8774,25276
33.407,-113.8048,24845
33.3922,-113.731,25064
33.377,-113.6562,25247
33.3625,-113.5845,23739
33.3489,-113.5171,22341
33.3352,-113.4493,21866
33.3233,-113.38,22455
33.3113,-113.3104,21954
33.2999,-113.2447,21002
33.2893,-113.1753,20058
33.2806,-113.113,19450
33.2759,-113.0715,19417
33.2762,-113.0009,18509
33.2776,-112.9418,17930
33.279,-112.8799,16905
33.2803,-112.8251,17381
33.2857,-112.7661,17011
33.2911,-112.7088,17046
33.2965,-112.6531,15837
33.3013,-112.5998,14701
33.3063,-112.546,14364
33.3112,-112.4938,13790
33.3161,-112.4396,12580
33.3206,-112.3894,12546
33.3257,-112.3345,11796
33.3303,-112.2846,10726
33.3349,-112.2331,10177
33.3389,-112.1879,9376
33.3435,-112.1395,9404
33.3475,-112.0948,8980
33.3473,-112.055,8136
33.3467,-112.0142,7651
33.3461,-111.9747,7907
33.3455,-111.9439,7645
33.3451,-111.9276,6619
33.3447,-111.9025,6637
33.3445,-111.8839,6190
33.3444,-111.8643,5295
33.3448,-111.8424,5055
33.3518,-111.828,4736
33.3652,-111.8221,4676
33.3894,-111.8204,3651
33.4041,-111.822,3751
33.4171,-111.84,3070
33.4254,-111.8553,3274
33.4283,-111.8733,3144
33.4288,-111.8929,3023
33.4288,-111.918,2212
33.4289,-111.9254,2653
33.4288,-111.9316,1702
33.4288,-111.9422,2291
33.4288,-111.9531,2246
33.4288,-111.9641,1366
33.4289,-111.9755,1738
33.4289,-111.9868,987
33.4289,-111.9988,1004
